,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-12-30,12,2019-12-30,10.725000000000001,14.4125,72.25,1014.2125,127.0,1.4375,572.125,82.875,305.125
2019-12-31,12,2019-12-31,12.57,14.87,64.8,1014.78,163.6,1.6300000000000001,487.8,85.5,259.9
2020-01-01,1,2020-01-01,13.059999999999999,24.8,78.3,1014.7700000000001,256.4,2.71,146.5,135.3,185.5
2020-01-02,1,2020-01-02,12.49,13.84,72.4,1014.39,324.7,2.63,461.0,80.9,261.4
2020-01-03,1,2020-01-03,12.4,9.680000000000001,69.9,1016.65,97.9,2.39,537.7,76.9,274.4
2020-01-04,1,2020-01-04,12.569999999999999,10.389999999999999,76.9,1022.15,250.7,2.05,292.7,124.0,231.4
2020-01-05,1,2020-01-05,11.65,10.540000000000001,66.3,1027.6299999999999,314.5,3.3299999999999996,559.9,72.5,276.0
2020-01-06,1,2020-01-06,11.370000000000001,13.26,65.1,1025.9,88.4,2.51,568.0,72.8,275.8
2020-01-07,1,2020-01-07,10.64,9.23,66.9,1017.8799999999999,233.1,2.52,477.6,100.1,268.5
2020-01-08,1,2020-01-08,11.25,12.750000000000002,79.6,1014.6900000000002,291.7,3.2,264.0,140.2,222.0
2020-01-09,1,2020-01-09,11.42,12.049999999999999,73.8,1012.07,196.6,5.92,352.1,114.3,248.3
2020-01-10,1,2020-01-10,10.540000000000001,12.87,67.5,1019.2700000000001,133.3,1.9,552.8,79.5,280.0
2020-01-11,1,2020-01-11,11.670000000000002,11.81,70.5,1019.0399999999997,291.6,4.97,484.9,88.1,275.4
2020-01-12,1,2020-01-12,10.77,11.99,67.4,1017.29,297.9,3.6699999999999995,629.0,56.5,294.8
2020-01-13,1,2020-01-13,11.08,14.729999999999999,72.7,1016.7,264.3,3.56,386.6,114.7,244.8
2020-01-14,1,2020-01-14,11.036363636363639,12.436363636363637,67.9090909090909,1017.4727272727273,266.90909090909093,3.7909090909090906,319.45454545454544,108.72727272727273,237.0
2020-01-15,1,2020-01-15,9.618181818181817,11.245454545454546,69.18181818181819,1013.4909090909089,180.8181818181818,2.627272727272727,314.1818181818182,122.81818181818181,232.63636363636363
2020-01-16,1,2020-01-16,9.16,14.580000000000002,77.4,1004.85,216.6,5.84,47.1,75.9,91.6
2020-01-17,1,2020-01-17,9.70909090909091,12.236363636363638,69.36363636363636,1016.681818181818,135.0909090909091,3.063636363636364,359.72727272727275,94.9090909090909,248.27272727272728
2020-01-18,1,2020-01-18,9.645454545454548,10.18181818181818,68.0,1021.1181818181817,35.63636363636363,3.1545454545454543,319.6363636363636,121.36363636363636,245.72727272727272
2020-01-19,1,2020-01-19,10.427272727272728,8.836363636363636,65.81818181818181,1016.2363636363636,49.27272727272727,4.154545454545455,139.8181818181818,123.63636363636364,178.72727272727272
2020-01-20,1,2020-01-20,11.281818181818183,14.02727272727273,65.81818181818181,1012.1545454545455,91.27272727272727,2.3000000000000003,17.363636363636363,150.9090909090909,158.0909090909091
2020-01-21,1,2020-01-21,12.02727272727273,21.563636363636363,80.27272727272727,1013.1545454545453,179.36363636363637,4.681818181818182,10.454545454545455,125.81818181818181,127.81818181818181
2020-01-22,1,2020-01-22,12.363636363636367,21.01818181818182,82.0909090909091,1017.4545454545455,132.36363636363637,2.645454545454545,350.27272727272725,96.0909090909091,249.8181818181818
2020-01-23,1,2020-01-23,12.47272727272727,24.263636363636365,78.72727272727273,1017.2454545454544,117.27272727272727,2.436363636363636,165.54545454545453,144.72727272727272,200.72727272727272
2020-01-24,1,2020-01-24,13.045454545454545,19.972727272727273,82.9090909090909,1015.5727272727272,112.36363636363636,1.1181818181818182,291.90909090909093,119.9090909090909,247.0
2020-01-25,1,2020-01-25,13.863636363636363,27.10909090909091,83.72727272727273,1014.7090909090908,191.8181818181818,1.2545454545454546,87.18181818181819,153.27272727272728,189.1818181818182
2020-01-26,1,2020-01-26,13.52727272727273,18.80909090909091,84.63636363636364,1016.4545454545455,272.6363636363636,3.5999999999999996,337.1818181818182,115.45454545454545,261.90909090909093
2020-01-27,1,2020-01-27,12.545454545454545,14.436363636363636,83.36363636363636,1022.0090909090911,261.72727272727275,2.4363636363636365,162.0,152.0,210.1818181818182
2020-01-28,1,2020-01-28,12.390909090909092,14.954545454545455,87.0,1021.6545454545455,212.63636363636363,3.309090909090909,117.63636363636364,139.0,179.72727272727272
2020-01-29,1,2020-01-29,12.254545454545452,15.981818181818182,76.72727272727273,1019.1,295.8181818181818,2.872727272727273,388.27272727272725,107.63636363636364,280.54545454545456
2020-01-30,1,2020-01-30,13.181818181818182,20.5,82.36363636363636,1018.0545454545455,283.0,1.963636363636364,253.27272727272728,148.8181818181818,251.0909090909091
2020-01-31,1,2020-01-31,14.245454545454548,15.618181818181819,77.54545454545455,1019.6090909090908,125.18181818181819,2.3454545454545457,366.09090909090907,121.9090909090909,284.09090909090907
2020-02-01,2,2020-02-01,14.463636363636363,11.672727272727274,75.45454545454545,1019.9636363636364,176.72727272727272,2.3454545454545452,506.45454545454544,95.36363636363636,312.3636363636364
2020-02-02,2,2020-02-02,12.390909090909092,7.2,57.90909090909091,1014.9272727272728,306.1818181818182,8.118181818181817,495.72727272727275,93.45454545454545,312.27272727272725
2020-02-03,2,2020-02-03,9.554545454545455,5.009090909090909,44.81818181818182,1015.1818181818181,213.1818181818182,6.3999999999999995,666.0909090909091,69.27272727272727,346.0
2020-02-04,2,2020-02-04,9.89090909090909,5.818181818181818,37.90909090909091,1018.3272727272728,138.9090909090909,4.945454545454546,640.7272727272727,79.18181818181819,340.27272727272725
2020-02-05,2,2020-02-05,10.927272727272726,14.654545454545456,44.18181818181818,1018.5454545454547,190.45454545454547,1.781818181818182,571.0,84.54545454545455,328.3636363636364
2020-02-06,2,2020-02-06,12.6,15.19090909090909,60.09090909090909,1015.9727272727272,156.9090909090909,2.145454545454545,606.9090909090909,80.54545454545455,337.72727272727275
2020-02-07,2,2020-02-07,13.218181818181819,10.209090909090909,68.0,1014.6818181818181,177.45454545454547,2.2636363636363637,632.9090909090909,79.27272727272727,348.27272727272725
2020-02-08,2,2020-02-08,12.1,8.027272727272726,71.18181818181819,1012.6454545454545,280.8181818181818,2.4454545454545453,506.1818181818182,104.27272727272727,340.90909090909093
2020-02-09,2,2020-02-09,12.936363636363637,5.636363636363638,44.81818181818182,1011.3363636363637,96.54545454545455,8.836363636363636,666.0909090909091,79.45454545454545,367.8181818181818
2020-02-10,2,2020-02-10,13.936363636363636,6.281818181818182,39.90909090909091,1011.4090909090909,99.81818181818181,3.709090909090909,685.4545454545455,76.0909090909091,371.0
2020-02-11,2,2020-02-11,15.30909090909091,8.518181818181818,43.45454545454545,1012.1636363636363,174.0,2.754545454545455,671.6363636363636,78.63636363636364,369.3636363636364
2020-02-12,2,2020-02-12,15.01818181818182,10.318181818181818,53.63636363636363,1011.4727272727272,166.72727272727272,2.1454545454545455,645.3636363636364,86.0,369.6363636363636
2020-02-13,2,2020-02-13,11.772727272727273,10.390909090909089,72.81818181818181,1012.4454545454547,238.1818181818182,3.063636363636364,141.63636363636363,165.54545454545453,207.63636363636363
2020-02-14,2,2020-02-14,11.154545454545454,12.136363636363637,70.45454545454545,1013.6727272727272,151.9090909090909,2.1363636363636367,338.6363636363636,150.1818181818182,327.8181818181818
2020-02-15,2,2020-02-15,12.236363636363636,16.736363636363635,73.81818181818181,1016.1090909090908,254.54545454545453,2.0909090909090904,580.7272727272727,99.45454545454545,365.8181818181818
2020-02-16,2,2020-02-16,12.136363636363637,16.018181818181816,75.0909090909091,1017.3636363636364,282.0,3.7181818181818183,507.6363636363636,123.81818181818181,360.3636363636364
2020-02-17,2,2020-02-17,13.78181818181818,9.036363636363639,61.63636363636363,1014.0090909090909,210.9090909090909,2.7272727272727275,513.0,112.0,379.27272727272725
2020-02-18,2,2020-02-18,14.363636363636363,6.118181818181819,40.27272727272727,1011.6363636363636,145.63636363636363,2.790909090909091,639.6363636363636,99.81818181818181,402.0
2020-02-19,2,2020-02-19,12.80909090909091,8.399999999999999,61.63636363636363,1013.2363636363636,180.8181818181818,1.7909090909090908,619.0,105.0,400.09090909090907
2020-02-20,2,2020-02-20,13.545454545454545,11.145454545454546,59.27272727272727,1014.2272727272725,103.0,2.2818181818181813,551.8181818181819,119.54545454545455,394.0
2020-02-21,2,2020-02-21,15.054545454545456,12.636363636363637,50.36363636363637,1012.6727272727275,112.45454545454545,2.709090909090909,504.3636363636364,128.27272727272728,386.27272727272725
2020-02-22,2,2020-02-22,13.609090909090908,13.218181818181819,67.81818181818181,1010.5090909090909,270.09090909090907,3.3000000000000003,327.72727272727275,188.63636363636363,340.09090909090907
2020-02-23,2,2020-02-23,11.7,15.47272727272727,78.54545454545455,1018.3181818181819,276.6363636363636,4.854545454545454,476.8181818181818,135.0,387.6363636363636
2020-02-24,2,2020-02-24,12.508333333333333,11.866666666666667,70.5,1022.0166666666668,251.0,2.4,621.4166666666666,89.16666666666667,390.5833333333333
2020-02-25,2,2020-02-25,15.091666666666667,9.791666666666666,51.0,1019.5166666666668,104.25,2.6750000000000003,658.6666666666666,85.08333333333333,400.9166666666667
2020-02-26,2,2020-02-26,15.958333333333336,10.533333333333333,53.25,1019.8750000000001,132.33333333333334,2.191666666666667,638.0833333333334,92.33333333333333,401.8333333333333
2020-02-27,2,2020-02-27,16.50833333333333,9.858333333333333,58.166666666666664,1017.8833333333333,107.75,2.3333333333333335,617.25,102.66666666666667,405.0
2020-02-28,2,2020-02-28,16.191666666666666,11.833333333333334,59.75,1014.5416666666666,192.75,1.7499999999999998,371.8333333333333,174.75,362.6666666666667
2020-02-29,2,2020-02-29,12.133333333333331,9.825,68.66666666666667,1012.6000000000003,280.8333333333333,5.941666666666666,533.1666666666666,104.16666666666667,398.0
2020-03-01,3,2020-03-01,10.541666666666666,11.858333333333333,57.666666666666664,1010.4083333333333,218.25,4.166666666666667,203.08333333333334,205.75,305.6666666666667
2020-03-02,3,2020-03-02,13.808333333333335,9.4,36.583333333333336,1011.25,92.83333333333333,4.925,599.5833333333334,102.5,409.6666666666667
2020-03-03,3,2020-03-03,15.983333333333334,11.35,50.333333333333336,1011.1749999999998,129.16666666666666,2.8166666666666664,671.3333333333334,92.16666666666667,431.4166666666667
2020-03-04,3,2020-03-04,16.025,11.483333333333333,57.083333333333336,1011.9833333333335,139.91666666666666,2.4583333333333335,652.0833333333334,99.08333333333333,434.0
2020-03-05,3,2020-03-05,14.25,13.091666666666663,74.25,1014.1833333333334,248.58333333333334,2.3666666666666667,255.5,213.58333333333334,325.3333333333333
2020-03-06,3,2020-03-06,12.141666666666666,13.275,77.25,1011.1833333333333,244.83333333333334,3.7083333333333335,99.25,197.25,242.25
2020-03-07,3,2020-03-07,10.45,15.308333333333332,79.08333333333333,1008.5416666666666,271.25,3.2416666666666667,85.0,210.75,260.9166666666667
2020-03-08,3,2020-03-08,10.661538461538461,12.584615384615383,69.07692307692308,1009.4846153846155,179.46153846153845,2.4153846153846157,281.9230769230769,193.76923076923077,318.6923076923077
2020-03-09,3,2020-03-09,12.808333333333335,15.533333333333331,60.916666666666664,1012.3333333333335,122.66666666666667,2.3499999999999996,507.3333333333333,135.91666666666666,425.4166666666667
2020-03-10,3,2020-03-10,14.953846153846154,17.43846153846154,55.0,1010.8307692307693,87.07692307692308,3.123076923076923,367.0,163.46153846153845,365.6923076923077
2020-03-11,3,2020-03-11,15.407692307692306,20.053846153846152,64.6923076923077,1011.2384615384616,272.0769230769231,1.923076923076923,463.84615384615387,117.23076923076923,399.15384615384613
2020-03-12,3,2020-03-12,14.623076923076923,15.953846153846154,67.3076923076923,1007.6307692307693,227.53846153846155,2.5923076923076924,535.8461538461538,116.61538461538461,423.15384615384613
2020-03-13,3,2020-03-13,13.199999999999998,12.892307692307693,74.6923076923077,1002.3538461538462,223.07692307692307,5.253846153846154,483.9230769230769,153.23076923076923,409.9230769230769
2020-03-14,3,2020-03-14,10.630769230769232,14.853846153846153,79.84615384615384,1007.8615384615384,232.07692307692307,5.96923076923077,42.15384615384615,190.76923076923077,213.0
2020-03-15,3,2020-03-15,10.22307692307692,13.553846153846155,72.46153846153847,1009.1230769230767,222.30769230769232,6.484615384615385,86.6923076923077,223.3846153846154,284.46153846153845
2020-03-16,3,2020-03-16,8.692307692307693,11.753846153846153,70.92307692307692,1008.3384615384616,115.53846153846153,3.8461538461538467,154.23076923076923,210.46153846153845,311.46153846153845
2020-03-17,3,2020-03-17,9.661538461538463,11.03846153846154,63.92307692307692,1008.3076923076923,189.0,1.676923076923077,488.38461538461536,161.6153846153846,414.3076923076923
2020-03-18,3,2020-03-18,10.291666666666666,13.6,70.58333333333333,1006.875,206.66666666666666,3.408333333333333,130.66666666666666,290.3333333333333,365.9166666666667
2020-03-19,3,2020-03-19,11.246153846153845,11.77692307692308,68.38461538461539,1009.6615384615386,176.84615384615384,2.1769230769230767,385.53846153846155,137.23076923076923,370.84615384615387
2020-03-20,3,2020-03-20,12.700000000000001,12.115384615384615,64.07692307692308,1015.3307692307692,121.23076923076923,2.4230769230769234,585.6153846153846,123.46153846153847,457.0769230769231
2020-03-21,3,2020-03-21,13.215384615384615,15.392307692307693,64.92307692307692,1015.0769230769231,142.23076923076923,2.0538461538461537,249.23076923076923,211.69230769230768,345.61538461538464
2020-03-22,3,2020-03-22,13.93846153846154,18.192307692307693,70.38461538461539,1012.9692307692306,124.76923076923077,2.284615384615385,348.38461538461536,168.0,386.0769230769231
2020-03-23,3,2020-03-23,12.161538461538463,17.56153846153846,77.07692307692308,1012.9076923076923,264.3076923076923,4.961538461538462,52.84615384615385,159.76923076923077,182.69230769230768
2020-03-24,3,2020-03-24,11.553846153846154,13.515384615384617,69.23076923076923,1014.8461538461538,223.15384615384616,5.792307692307691,86.46153846153847,224.23076923076923,273.9230769230769
2020-03-25,3,2020-03-25,10.684615384615382,11.023076923076925,64.15384615384616,1013.1538461538462,280.7692307692308,3.8615384615384616,553.1538461538462,107.3076923076923,458.2307692307692
2020-03-26,3,2020-03-26,10.2,9.092307692307692,58.46153846153846,1012.0999999999998,201.15384615384616,3.8230769230769224,702.5384615384615,89.46153846153847,506.6923076923077
2020-03-27,3,2020-03-27,10.938461538461535,10.915384615384616,65.61538461538461,1014.2923076923078,284.15384615384613,5.776923076923077,589.4615384615385,142.84615384615384,484.6923076923077
2020-03-28,3,2020-03-28,11.223076923076924,18.6,76.92307692307692,1016.5307692307694,205.07692307692307,3.1230769230769235,113.53846153846153,208.23076923076923,258.0
2020-03-29,3,2020-03-29,12.107692307692307,18.400000000000002,76.61538461538461,1014.5307692307694,195.69230769230768,2.7923076923076926,23.076923076923077,191.23076923076923,207.69230769230768
2020-03-30,3,2020-03-30,13.015384615384615,19.5,74.3076923076923,1018.4307692307691,238.15384615384616,2.707692307692308,315.53846153846155,212.07692307692307,398.6923076923077
2020-03-31,3,2020-03-31,13.553846153846154,21.130769230769236,76.84615384615384,1018.0384615384615,276.53846153846155,3.3923076923076922,388.61538461538464,199.6153846153846,441.46153846153845
2020-04-01,4,2020-04-01,12.423076923076925,10.946153846153846,64.38461538461539,1011.3461538461538,294.9230769230769,5.8538461538461535,712.3846153846154,87.84615384615384,531.2307692307693
