PeriodEnd,PeriodStart,Period,AirTemp,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2019-12-30T02:00:00Z,2019-12-30T01:00:00Z,PT60M,11.6,0,0,0,20.7,89.6,1009.4,149,5.3
2019-12-30T03:00:00Z,2019-12-30T02:00:00Z,PT60M,11.6,0,0,0,20.5,88.7,1009.0,141,4.4
2019-12-30T04:00:00Z,2019-12-30T03:00:00Z,PT60M,11.5,0,0,0,20.1,88.7,1009.2,121,3.2
2019-12-30T05:00:00Z,2019-12-30T04:00:00Z,PT60M,11.2,0,0,0,19.9,89.0,1009.9,71,2.5
2019-12-30T06:00:00Z,2019-12-30T05:00:00Z,PT60M,10.6,0,0,0,20.1,89.5,1010.7,42,4.8
2019-12-30T07:00:00Z,2019-12-30T06:00:00Z,PT60M,9.9,0,0,0,20.1,89.5,1011.4,42,6.1
2019-12-30T08:00:00Z,2019-12-30T07:00:00Z,PT60M,9.7,0,0,0,19.4,87.9,1011.2,42,5.8
2019-12-30T09:00:00Z,2019-12-30T08:00:00Z,PT60M,9.4,0,0,0,18.8,86.4,1011.3,46,6.0
2019-12-30T10:00:00Z,2019-12-30T09:00:00Z,PT60M,9.4,0,0,0,18.5,85.0,1011.8,53,6.0
2019-12-30T11:00:00Z,2019-12-30T10:00:00Z,PT60M,9.5,0,0,0,18.2,83.2,1012.5,51,6.0
2019-12-30T12:00:00Z,2019-12-30T11:00:00Z,PT60M,9.7,0,0,0,17.9,83.9,1013.2,47,5.2
2019-12-30T13:00:00Z,2019-12-30T12:00:00Z,PT60M,9.6,0,0,0,17.3,84.7,1013.2,42,4.2
2019-12-30T14:00:00Z,2019-12-30T13:00:00Z,PT60M,9.3,0,0,0,16.3,84.7,1012.9,39,4.0
2019-12-30T15:00:00Z,2019-12-30T14:00:00Z,PT60M,9.0,0,0,0,15.7,84.9,1013.2,31,3.5
2019-12-30T16:00:00Z,2019-12-30T15:00:00Z,PT60M,8.9,8,59,13,15.3,84.6,1013.7,17,2.9
2019-12-30T17:00:00Z,2019-12-30T16:00:00Z,PT60M,9.2,47,463,130,14.9,82.9,1014.4,14,2.8
2019-12-30T18:00:00Z,2019-12-30T17:00:00Z,PT60M,9.9,71,658,277,14.7,77.7,1015.2,4,1.9
2019-12-30T19:00:00Z,2019-12-30T18:00:00Z,PT60M,10.6,80,763,395,14.5,72.7,1015.5,3,1.1
2019-12-30T20:00:00Z,2019-12-30T19:00:00Z,PT60M,11.2,85,804,464,14.3,69.1,1015.2,14,0.8
2019-12-30T21:00:00Z,2019-12-30T20:00:00Z,PT60M,11.6,98,769,468,14.0,66.6,1013.9,349,0.2
2019-12-30T22:00:00Z,2019-12-30T21:00:00Z,PT60M,12.0,156,531,389,13.8,64.9,1012.8,310,0.4
2019-12-30T23:00:00Z,2019-12-30T22:00:00Z,PT60M,12.4,118,530,305,13.8,64.5,1013.0,305,1.4
2019-12-31T00:00:00Z,2019-12-30T23:00:00Z,PT60M,12.5,77,428,178,14.0,69.0,1013.4,274,2.0
2019-12-31T01:00:00Z,2019-12-31T00:00:00Z,PT60M,12.2,24,197,45,14.3,75.6,1013.6,261,2.2
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,11.7,0,0,0,14.1,80.5,1013.3,274,2.1
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,11.4,0,0,0,13.8,82.9,1013.4,298,2.0
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,11.3,0,0,0,13.7,83.5,1014.0,318,1.9
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,11.3,0,0,0,13.4,83.2,1014.3,323,1.6
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,11.2,0,0,0,12.9,84.0,1014.1,310,1.2
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,11.3,0,0,0,12.2,84.0,1014.0,317,1.5
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,11.2,0,0,0,11.6,82.3,1013.8,345,1.8
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,11.1,0,0,0,10.9,80.9,1013.8,3,2.1
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,11.0,0,0,0,10.4,79.0,1014.3,10,2.2
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,10.8,0,0,0,10.0,77.4,1014.7,36,2.0
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,10.6,0,0,0,10.4,80.7,1014.6,46,1.5
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,10.7,0,0,0,10.8,83.7,1014.3,50,1.2
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,10.6,0,0,0,11.0,82.0,1014.4,56,1.8
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,10.4,0,0,0,11.6,80.0,1014.6,50,2.3
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,10.3,8,60,14,12.1,77.0,1014.7,51,2.3
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,10.7,39,540,137,12.7,72.9,1015.0,64,2.4
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,11.7,72,663,277,14.1,68.2,1015.5,96,2.0
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,12.9,117,612,371,15.5,62.2,1015.9,106,1.7
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,13.5,100,747,452,16.2,57.6,1015.8,65,1.3
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,13.8,113,712,456,16.7,56.3,1015.0,26,0.8
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,14.0,177,440,371,16.9,56.2,1014.5,350,0.9
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,14.1,128,479,298,16.2,56.8,1014.4,343,0.7
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,14.1,79,416,178,13.9,58.6,1014.0,180,0.5
